Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GD,GD,GD,GD,GD,GD
Date,,,,,,
2000-01-03 00:00:00+00:00,14.623546600341797,24.53125,26.0625,24.5,26.0625,1925600
2000-01-04 00:00:00+00:00,15.238301277160645,25.5625,25.90625,25.1875,25.5,2649600
2000-01-05 00:00:00+00:00,16.281509399414062,27.3125,28.1875,25.9375,26.0,3474800
2000-01-06 00:00:00+00:00,16.3373966217041,27.40625,27.78125,27.0,27.3125,2897000
2000-01-07 00:00:00+00:00,16.765859603881836,28.125,28.78125,27.59375,27.625,2273400
2000-01-10 00:00:00+00:00,16.61683464050293,27.875,28.625,27.625,28.3125,2437600
2000-01-11 00:00:00+00:00,16.393280029296875,27.5,27.78125,27.3125,27.75,798400
2000-01-12 00:00:00+00:00,15.866399765014648,26.5,27.28125,26.375,27.1875,2704800
2000-01-13 00:00:00+00:00,15.866399765014648,26.5,27.1875,26.0625,27.0,1233000
2000-01-14 00:00:00+00:00,15.97866439819336,26.6875,27.1875,26.03125,26.75,1270200
2000-01-18 00:00:00+00:00,15.510903358459473,25.90625,26.59375,25.75,25.8125,1846000
2000-01-19 00:00:00+00:00,15.192822456359863,25.375,25.8125,25.0625,25.625,1348800
2000-01-20 00:00:00+00:00,14.767168045043945,24.6640625,25.28125,24.34375,25.25,1827200
2000-01-21 00:00:00+00:00,14.781193733215332,24.6875,24.875,24.625,24.8125,1740400
2000-01-24 00:00:00+00:00,13.90180778503418,23.21875,25.0,22.875,24.8125,1681600
2000-01-25 00:00:00+00:00,14.088915824890137,23.53125,23.6875,22.6875,23.21875,2450000
2000-01-26 00:00:00+00:00,14.051498413085938,23.46875,23.90625,22.84375,23.65625,2838600
2000-01-27 00:00:00+00:00,14.070197105407715,23.5,24.5,23.40625,24.46875,2105400
2000-01-28 00:00:00+00:00,14.145044326782227,23.625,24.0,23.3125,23.625,2294600
2000-01-31 00:00:00+00:00,14.10762882232666,23.5625,23.65625,23.0,23.5625,808800
2000-02-01 00:00:00+00:00,14.463119506835938,24.15625,24.21875,23.21875,23.625,1133600
2000-02-02 00:00:00+00:00,14.219883918762207,23.75,24.71875,23.65625,24.5625,1519800
2000-02-03 00:00:00+00:00,13.84567642211914,23.125,24.1875,22.9375,24.125,1770400
2000-02-04 00:00:00+00:00,13.63986873626709,22.78125,23.625,22.75,23.3125,2248000
2000-02-07 00:00:00+00:00,13.321784973144531,22.25,23.0625,21.125,23.03125,5385800
2000-02-08 00:00:00+00:00,12.8727388381958,21.5,22.3125,21.34375,22.0625,4143400
2000-02-09 00:00:00+00:00,12.49853229522705,20.875,21.25,20.46875,21.25,3313800
2000-02-10 00:00:00+00:00,12.62950611114502,21.09375,21.625,20.84375,20.90625,1207200
2000-02-11 00:00:00+00:00,12.40498161315918,20.71875,21.09375,20.71875,21.0625,1554000
2000-02-14 00:00:00+00:00,12.442395210266113,20.78125,21.03125,20.5,21.0,1143000
2000-02-15 00:00:00+00:00,12.367554664611816,20.65625,21.0,20.4375,20.78125,2330000
2000-02-16 00:00:00+00:00,12.442395210266113,20.78125,21.15625,20.625,21.0,1300200
2000-02-17 00:00:00+00:00,12.910161972045898,21.5625,21.6875,20.71875,20.8125,2013000
2000-02-18 00:00:00+00:00,12.535951614379883,20.9375,21.65625,20.71875,21.625,1899800
2000-02-22 00:00:00+00:00,12.8727388381958,21.5,21.75,20.9375,21.0,1008000
2000-02-23 00:00:00+00:00,12.910161972045898,21.5625,21.75,21.28125,21.625,1118400
2000-02-24 00:00:00+00:00,12.648213386535645,21.125,21.53125,20.78125,21.5,2636400
2000-02-25 00:00:00+00:00,12.854023933410645,21.46875,21.71875,21.0625,21.09375,991600
2000-02-28 00:00:00+00:00,12.891446113586426,21.53125,21.71875,21.1875,21.59375,735400
2000-02-29 00:00:00+00:00,12.947577476501465,21.625,21.96875,21.375,21.5,1157800
2000-03-01 00:00:00+00:00,12.685636520385742,21.1875,21.625,21.09375,21.625,1504800
2000-03-02 00:00:00+00:00,12.311427116394043,20.5625,21.15625,20.40625,21.125,1727200
2000-03-03 00:00:00+00:00,11.637848854064941,19.4375,20.5625,19.375,20.5625,3978600
